Resume,Role
"Experienced in Python, SQL, Scikit-learn, Machine Learning, Deep Learning, Power BI, Data Visualization, NumPy, Matplotlib, Pandas, Excel, Statistics",Data Scientist
"Experienced in Machine Learning, TensorFlow, Scikit-learn, Seaborn, NumPy, Power BI, Excel, Deep Learning, Python, SQL, Pandas, Statistics",Data Scientist
"Experienced in Matplotlib, Data Visualization, Seaborn, Power BI, Python, TensorFlow, Pandas, Excel, Deep Learning, Statistics, NumPy, Scikit-learn",Data Scientist
"Experienced in Statistics, Deep Learning, Seaborn, Data Visualization, Python, SQL, TensorFlow, NumPy, Scikit-learn, Machine Learning, Power BI, Excel",Data Scientist
"Experienced in NumPy, SQL, Scikit-learn, Matplotlib, Pandas, Excel, Machine Learning, Power BI",Data Scientist
"Experienced in Scikit-learn, TensorFlow, SQL, Excel, Seaborn, NumPy, Matplotlib, Pandas, Statistics, Python, Machine Learning",Data Scientist
"Experienced in Statistics, Power BI, TensorFlow, SQL, Data Visualization, Seaborn, NumPy, Machine Learning, Python, Excel, Deep Learning, Pandas",Data Scientist
"Experienced in Seaborn, NumPy, Scikit-learn, Python, Pandas, Statistics, Data Visualization, SQL, TensorFlow",Data Scientist
"Experienced in Python, TensorFlow, Pandas, Deep Learning, Statistics, Matplotlib, Seaborn, Machine Learning, Data Visualization, SQL, Scikit-learn, NumPy",Data Scientist
"Experienced in Scikit-learn, Machine Learning, Power BI, TensorFlow, Seaborn, Data Visualization, Excel, Python, Deep Learning, Pandas, Matplotlib, NumPy",Data Scientist
"Experienced in NumPy, Data Visualization, Statistics, Python, Matplotlib, Scikit-learn, Power BI, Machine Learning, Pandas, SQL",Data Scientist
"Experienced in Statistics, Deep Learning, Seaborn, TensorFlow, Scikit-learn, Matplotlib, Machine Learning, Data Visualization, SQL, Pandas",Data Scientist
"Experienced in Data Visualization, Deep Learning, Seaborn, Power BI, Excel, NumPy, Machine Learning, SQL, Scikit-learn, Statistics, TensorFlow",Data Scientist
"Experienced in Excel, Machine Learning, NumPy, Python, Matplotlib, Power BI, Pandas, Statistics, Data Visualization, TensorFlow",Data Scientist
"Experienced in Statistics, SQL, Power BI, Seaborn, Excel, Pandas, NumPy, Matplotlib, Machine Learning, Scikit-learn",Data Scientist
"Experienced in Excel, NumPy, TensorFlow, Matplotlib, Deep Learning, Power BI, Seaborn, Python, SQL, Scikit-learn, Statistics",Data Scientist
"Experienced in Data Visualization, Python, Deep Learning, Seaborn, TensorFlow, Scikit-learn, Power BI, Matplotlib, Statistics",Data Scientist
"Experienced in Power BI, Pandas, SQL, Python, Excel, Scikit-learn, Seaborn, Matplotlib, Deep Learning",Data Scientist
"Experienced in Matplotlib, Power BI, Seaborn, NumPy, Pandas, Excel, Scikit-learn, Deep Learning",Data Scientist
"Experienced in Power BI, Machine Learning, Data Visualization, Matplotlib, TensorFlow, Python, Deep Learning, Pandas, Seaborn",Data Scientist
"Experienced in SQL, Seaborn, Machine Learning, Deep Learning, Power BI, TensorFlow, Statistics, Data Visualization, NumPy, Matplotlib, Python",Data Scientist
"Experienced in Scikit-learn, Data Visualization, TensorFlow, Seaborn, Statistics, Machine Learning, Python, Deep Learning, Power BI, Excel",Data Scientist
"Experienced in Data Visualization, Statistics, Machine Learning, Deep Learning, SQL, Seaborn, Python, Scikit-learn, Matplotlib, Pandas, NumPy",Data Scientist
"Experienced in Matplotlib, Deep Learning, Seaborn, Machine Learning, NumPy, Statistics, SQL, TensorFlow, Excel, Python",Data Scientist
"Experienced in Deep Learning, TensorFlow, Pandas, Matplotlib, Scikit-learn, NumPy, Python, SQL, Power BI, Excel",Data Scientist
"Experienced in Deep Learning, NumPy, Pandas, Machine Learning, Matplotlib, Seaborn, Python, Excel",Data Scientist
"Experienced in SQL, Machine Learning, Power BI, Statistics, Deep Learning, Pandas, Seaborn, Python, Scikit-learn, NumPy, Excel",Data Scientist
"Experienced in Statistics, Pandas, NumPy, SQL, Machine Learning, Python, Deep Learning, TensorFlow, Scikit-learn",Data Scientist
"Experienced in TensorFlow, Data Visualization, Pandas, Python, Machine Learning, Power BI, Matplotlib, Deep Learning, Seaborn, NumPy, Scikit-learn, Excel",Data Scientist
